,NTAName,LI - Not Losing Low Income Households,MHI - At Risk of Exclusion,MHI - Not Losing Low Income Households,LI - At Risk of Gentrification and/or Displacement,MHI - Advanced Exclusion,MHI - Advanced Gentrification,MHI - Ongoing Exclusion,LI - Ongoing Gentrification and/or Displacement
98,Longwood,0.117647058824,0.0,0.0,0.352941176471,0.0,0.117647058824,0.0,0.411764705882
99,Lower East Side,0.12,0.04,0.0,0.12,0.08,0.08,0.0,0.56
100,Madison,0.34375,0.125,0.1875,0.03125,0.15625,0.03125,0.0625,0.0625
101,Manhattanville,0.181818181818,0.0,0.0909090909091,0.0909090909091,0.0,0.0,0.0,0.636363636364
102,Marble Hill-Inwood,0.142857142857,0.0,0.214285714286,0.357142857143,0.0,0.0714285714286,0.0,0.214285714286
103,Mariner's Harbor-Arlington-Port Ivory-Graniteville,0.357142857143,0.0,0.0714285714286,0.214285714286,0.0714285714286,0.0714285714286,0.0714285714286,0.142857142857
104,Maspeth,0.321428571429,0.0,0.142857142857,0.107142857143,0.0714285714286,0.107142857143,0.0,0.25
105,Melrose South-Mott Haven North,0.0952380952381,0.0,0.0,0.380952380952,0.0,0.0952380952381,0.0,0.428571428571
106,Middle Village,0.294117647059,0.0294117647059,0.205882352941,0.0,0.235294117647,0.117647058824,0.0294117647059,0.0882352941176
107,Midtown-Midtown South,0.0,0.157894736842,0.0789473684211,0.0263157894737,0.394736842105,0.184210526316,0.0263157894737,0.131578947368
108,Midwood,0.441176470588,0.176470588235,0.147058823529,0.0588235294118,0.117647058824,0.0,0.0294117647059,0.0294117647059
109,Morningside Heights,0.210526315789,0.0,0.0526315789474,0.0526315789474,0.105263157895,0.105263157895,0.0,0.473684210526
110,Morrisania-Melrose,0.173913043478,0.0,0.0,0.434782608696,0.0,0.0434782608696,0.0,0.347826086957
111,Mott Haven-Port Morris,0.230769230769,0.0,0.0769230769231,0.307692307692,0.0,0.153846153846,0.0,0.230769230769
112,Mount Hope,0.0769230769231,0.0,0.0384615384615,0.269230769231,0.0,0.0384615384615,0.0,0.576923076923
